var,dias,trt,pl,categ,cont,prop,tree_id
A,7,2,2,0,10,0.178571428571429,A.2.7.2
A,7,2,2,1,4,0.0714285714285714,A.2.7.2
A,7,2,2,2,3,0.0535714285714286,A.2.7.2
A,7,2,2,3,0,0,A.2.7.2
A,7,2,2,4,0,0,A.2.7.2
A,7,2,2,5,0,0,A.2.7.2
A,7,2,3,0,16,0.285714285714286,A.2.7.3
A,7,2,3,1,0,0,A.2.7.3
A,7,2,3,2,0,0,A.2.7.3
A,7,2,3,3,0,0,A.2.7.3
A,7,2,3,4,0,0,A.2.7.3
A,7,2,3,5,0,0,A.2.7.3
A,7,3,1,0,28,0.4,A.3.7.1
A,7,3,1,1,0,0,A.3.7.1
A,7,3,1,2,0,0,A.3.7.1
A,7,3,1,3,0,0,A.3.7.1
A,7,3,1,4,0,0,A.3.7.1
A,7,3,1,5,0,0,A.3.7.1
A,7,3,2,0,17,0.242857142857143,A.3.7.2
A,7,3,2,1,1,0.0142857142857143,A.3.7.2
A,7,3,2,2,0,0,A.3.7.2
A,7,3,2,3,0,0,A.3.7.2
A,7,3,2,4,0,0,A.3.7.2
A,7,3,2,5,0,0,A.3.7.2
A,7,3,3,0,22,0.314285714285714,A.3.7.3
A,7,3,3,1,2,0.0285714285714286,A.3.7.3
A,7,3,3,2,0,0,A.3.7.3
A,7,3,3,3,0,0,A.3.7.3
A,7,3,3,4,0,0,A.3.7.3
A,7,3,3,5,0,0,A.3.7.3
A,7,4,1,0,14,0.208955223880597,A.4.7.1
A,7,4,1,1,7,0.104477611940299,A.4.7.1
A,7,4,1,2,1,0.0149253731343284,A.4.7.1
A,7,4,1,3,2,0.0298507462686567,A.4.7.1
A,7,4,1,4,0,0,A.4.7.1
A,7,4,1,5,0,0,A.4.7.1
A,7,4,2,0,17,0.253731343283582,A.4.7.2
A,7,4,2,1,0,0,A.4.7.2
A,7,4,2,2,0,0,A.4.7.2
A,7,4,2,3,0,0,A.4.7.2
A,7,4,2,4,0,0,A.4.7.2
A,7,4,2,5,0,0,A.4.7.2
A,7,4,3,0,25,0.373134328358209,A.4.7.3
A,7,4,3,1,1,0.0149253731343284,A.4.7.3
A,7,4,3,2,0,0,A.4.7.3
A,7,4,3,3,0,0,A.4.7.3
A,7,4,3,4,0,0,A.4.7.3
A,7,4,3,5,0,0,A.4.7.3
B,0,0,1,0,8,0.235294117647059,B.0.0.1
B,0,0,1,1,4,0.117647058823529,B.0.0.1
B,0,0,1,2,0,0,B.0.0.1
B,0,0,1,3,0,0,B.0.0.1
B,0,0,1,4,0,0,B.0.0.1
B,0,0,1,5,0,0,B.0.0.1
B,0,0,2,0,7,0.205882352941176,B.0.0.2
B,0,0,2,1,3,0.0882352941176471,B.0.0.2
B,0,0,2,2,0,0,B.0.0.2
B,0,0,2,3,0,0,B.0.0.2
B,0,0,2,4,0,0,B.0.0.2
B,0,0,2,5,0,0,B.0.0.2
B,0,0,3,0,7,0.205882352941176,B.0.0.3
B,0,0,3,1,3,0.0882352941176471,B.0.0.3
B,0,0,3,2,2,0.0588235294117647,B.0.0.3
